,Title,Description,Release Date,Metascore,User Score
83,Motorsport Manager,,"November 9, 2016",81,8.1
84,Battlefield V,"Enter mankind's greatest conflict with Battlefield 5 as the series goes back to its roots with a never-before-seen portrayal of World War 2. Lead your squad to victory with new ways to turn the battlefield to your advantage. Assemble your Company of customized soldiers, weapons, and vehicles then take them on an epic journey through the Tides of War. Experience the most intense, immersive Battlefield yet. You will never be the same.","November 15, 2018",81,2.9
85,My Friend Pedro,My Friend Pedro is a violent ballet about friendship and imagination where players strategically bounce bullets off frying pans and jump through windows in slow motion.,"June 20, 2019",81,8.0
86,South Park: The Fractured But Whole,"South Park: The Fractured but Whole empowers players to delve into the tender, crime-ridden underbelly of South Park with Coon and Friends. This dedicated group of crime fighters was formed by Eric Cartman, whose superhero alter ego, The Coon, is half man, half raccoon. As The New Kid, players join Mysterion, Toolshed, Human Kite, Mosquito, Mint Berry Crunch and a group of others to battle the forces of evil while Coon strives to make his team some of the most beloved superheroes in history. Creators Matt Stone and Trey Parker were involved in every step of the development of the game. [Ubisoft]","October 17, 2017",81,6.9
87,Necrobarista,"In a back-alley cafe, the dead are granted one last night to mingle with the living. Necrobarista follows a dynamic and diverse cast of characters as they navigate Melbourne's hipstery coffee culture, the questionable ethics of necromancy, and the process of letting go.","July 22, 2020",81,6.2
88,FIFA 18,"Score incredible goals in FIFA 18 as new movement and finishing animations unlock more fluid striking and heading of the ball. All-new crossing controls bring greater options to how you send it into the box. Whipped to the spot, arching deliveries, and pinged crosses to the back-stick will shake up your attacks in the final third. The biggest step in gameplay, FIFA 18 introduces Real Player Motion Technology, an all-new animation system that unlocks the next level of responsiveness and player personality. Now Cristiano Ronaldo and other top players feel and move exactly like they do on the real pitch. From tiki-taka to high press, new Team Styles put the most recognised tactics of the world's best clubs on the pitch in FIFA 18. Enjoy more time and space to read the play through New Player Positioning, while improved tactics give players greater options on the ball as teammates exploit space and make new attacking runs. [Electronic Arts]","September 26, 2017",81,2.8
89,Star Wars Jedi Knight: Jedi Academy,"As a new student of Luke Skywalker's Jedi Academy, follow an ancient tradition and learn the powers - and dangers - of the Force. The Force is a powerful ally; use it wisely. Immerse yourself in the classic Star Wars universe as you take on the role of a student eager to learn the ways of the Force from Master Luke Skywalker. Interact with famous classic Star Wars locations and characters while facing the ultimate choice: fight for good and freedom in the light side or follow the path of power and evil to the dark side. Create your own characters by defining various characteristics, such as species, gender, clothing and physical attributes allowing for a more personal experience before entering the academy to learn the powers - and dangers - of the Force. Construct your own lightsaber from handle to blade color. Utilize two if you prefer or try the ultimate dual-bladed lightsaber made famous by Darth Maul. Unique tiered level selection allows you to choose you adventure and the missions you take based on the skills you need to become the ultimate Jedi Knight. [LucasArts]","September 17, 2003",81,8.6
90,Mortal Kombat Komplete Edition,"Mortal Kombat Komplete Edition delivers the critically acclaimed game, all previously released downloadable content (DLC), plus digital downloads of the 2011 release of Mortal Kombat: Songs Inspired by the Warriors album with a bonus track, and the 1995 Mortal Kombat film on the PlayStation Store or Xbox Live Zune.  The DLC includes fan-favorite warriors Skarlet, Kenshi and Rain, as well as the infamous dream stalker Freddy Krueger. The game also offers 15 Klassic Skins and three Klassic Fatalities (Scorpion, Sub-Zero and Reptile). Mortal Kombat: Songs Inspired by the Warriors is a collection of electronic music inspired by the game and is executive produced by JFK (of the DJ/ production duo MSTRKRFT and Death From Above 1979).","July 3, 2013",81,8.7
91,Shadowrun: Dragonfall,"Experience a New Full-Length Campaign: Return to the “Tech meets Magic” future of Shadowrun in an all-new 12+ hour campaign. Operating out of an offbeat hub neighborhood, you’ll choose which missions to accept and how you’ll approach them while navigating the dark underbelly of “the Flux”.","February 27, 2014",81,8.3
92,Yooka-Laylee and the Impossible Lair,"Yooka & Laylee are back in a brand-new platform hybrid adventure. They must run, jump and roll their way through a series of challenging 2D levels, face a puzzling Overworld and rally the Royal Bee-tallion to take down Capital B and his Impossible Lair. 
* The overworld isn't just a hub to hop from level to level, it provides a whole separate gaming experience. Explore and unlock more 2D levels by completing objectives and puzzles, rescue Royal Bees and find collectibles.
* Alternate Level States. Think you've got a level figured out? Try it in its alternate state! Flip switches in the overworld to create new landscapes.
* Bee-at the Impossible Lair. Players are free to tackle Capital B's Impossible Lair at any time; however, they may find it too much of a challenge without the help of the Royal Bee Guards.","October 8, 2019",81,6.2
93,Eets,"Eets is a downloadable game that comes with its own puzzle maker and challenges players to use the power of angry giant marshmallows, chocolate pumping power shooters or invoke the trickery of prankster whales to progress through the game and solve a puzzle. Eets Gameplay is like ""Lemmings Meet The Incredible Machine Plus a Touch of Character."" Players step onto a rich looking platform of lush grasses against a sunny sky and compel the main character, Eets, to find puzzle pieces or shards placed throughout the game's levels. Eets players progress through the game by acquiring puzzle pieces and by collecting a certain amount, doors will open to new levels such as Smoreland or Kaboom Desert. Players control Eets by feeding him, causing certain emotions and behaviors to erupt based on the food and other props you serve up to him. Get Eets to bite into a tasty chocolate chip and he happily jumps into areas where you want him to progress; give him a sad marshmallow and he will be afraid to move off a cliff. The game is full of suprises from sneezy sows that don't like to be touched and respond by firing off superpigs, to carts that roll and explode when triggered. Players can figure out what makes each element tick and set off chain reactions to get to their desired destination. In addition to the games more than 100 levels, Eets includes a puzzle maker where players can create their own fun by developing levels complete with their choice of music, hurdles, characters, time of day, atmosphere and level of difficulty. [Klei Entertainment]","March 29, 2006",81,6.2
94,A Plague Tale: Innocence,"A Plague Tale: Innocence offers an adventure supported by an original scenario, with gameplay that blends action, adventure and stealth phases. Follow our protagonists Amicia and her little brother Hugo, both orphans and on the run from the terrifying Inquisition. Our young heroes will also need to survive against an even greater danger: supernatural swarms of rats that appeared with the great plague infecting across cities and countryside. [Focus Home Interactive]","May 13, 2019",81,8.5
95,World of Warships,"Warships is a free, historical, online combat game from Wargaming. Command a massive naval fleet featuring some of history's most iconic war vessels, level up important tech modules and prepare to dominate the oceans in World of Warships. With four classes of ships, myriad upgrades, and strategically designed environments, every match is a unique experience.","September 17, 2015",81,6.0
96,TOCA Race Driver 2: The Ultimate Racing Simulator,"Race Driver 2: The Ultimate Racing Simulator is a massive step forward from Race Driver. It offers a great selection of aspirational cars to be driven through 31 championships that cover a huge variety of motor racing styles. Race Driver 2 contains the most diverse range of motorsports (including Open Wheel Grand Prix, Super Truck racing, Stockcar Oval Racing, Rally, Rallycross, Ice-Racing, Formula Ford, Classic Racing, Convertible Racing, Street Racing, GT Racing, and Performance Cars) ever seen in a racing game, including the DTM and V8 Supercars licenses. The game features 35 high-powered, aspirational cars such as Aston Martin and Jaguar. The 31 Race Locations offer 48 tracks which provide the ultimate racing experience and are a combination of real licensed tracks and fictional tracks. The immersive story line adds to the excitement by following the player's progression through the ranks of the racing world. The reality TV style captures the competitive intrigue of 12 drivers battling their way to the top: driving for a Grand Prix team. [Codemasters]","April 13, 2004",81,7.7
97,Wargame: European Escalation,"Set in the rarely explored period of 1975-1985, Wargame pits NATO (USA and Western Europe) against the Warsaw Pact (Soviet and Eastern European countries) in battles that explore “what could have been.” The specter of nuclear warfare loomed large over the real Cold War, but this catastrophic outcome was the ultimate last resort as everyone knew that the first one to start nuclear hostilities would end up wiped out just the same. Large, armored offensives through Europe would certainly have been the core of this hypothetical war; and this is what the game’s explosive campaign takes you through!","February 22, 2012",81,8.1
98,Dishonored: Death of the Outsider,"Take on the role of Billie Lurk (aka Megan Foster), once one of Dunwall's most notorious killers-for-hire. Reunited with your old mentor, the legendary assassin Daud, you undertake the greatest assassination ever conceived: killing the Outsider, a god-like figure whom Billie and Daud see as instrumental to some of the Empire's most dishonorable moments. As you venture deep into the grimiest corners of Karnaca to uncover the mystery of the Outsider and his origins, you will face deadly opposition, ancient powers, and difficult decisions that will forever change the world around you.","September 14, 2017",81,7.0
99,Dungeon Defenders,"Dungeon Defenders is an original hybrid of two hot genres: Tower Defense and online Action-RPG! The game puts players in the role of one of four distinctive hero classes, tasked with fending off hordes of invading beasties by strategically summoning a variety of Defenses & Traps throughout their castle.

But as far more than a strategy game, players directly participate in the action-packed combat with their hero characters, while upgrading their statistics, gathering tons of loot and inventory items, customizing & upgrading equipment, and developing unique class abilities. All of this can be enjoyed in seamless online and split-screen local multiplayer, as players cooperate and compete through the story campaign and challenge missions to build the strongest heroes and achieve the highest scores in the kingdom.

Combining the depth of strategic gaming with the satisfying action of RPG character building in a beautifully stylized toon fantasy setting, Dungeon Defenders is designed to be a distinctly addictive, easy-to-play experience for casual and hardcore gamers alike.","October 18, 2011",81,7.3
0,Trine 4: The Nightmare Prince,TheTrine series returns to the magic of 2.5D! Join three iconic heroes as they set off on a quest through fantastical fairytale landscapes to save the world from the Nightmare Prince’s shadows.,"October 8, 2019",81,8.1
1,Maldita Castilla EX: Cursed Castilla,"Cursed Castilla (Maldita Castilla EX) is an arcade action platformer full of creatures from medieval myths from Spain and the rest of Europe, as well as from chivalric romances. This game is an extended version of the renowned classic arcade Maldita Castilla, originally created by the indie Locomalito.","October 20, 2016",81,7.2
2,Age of Wonders: Planetfall,"Age of Wonders: Planetfall is the new strategy game from Triumph Studios, creators of the critically acclaimed Age of Wonders series, bringing all the exciting tactical turn-based combat and in-depth empire building of its predecessors to space in an all-new, sci-fi setting.","August 6, 2019",81,7.6
3,Katamari Damacy REROLL,"The stop-at-nothing pushing prince is back and ready to reroll. When the King of All Cosmos accidentally destroys all the stars in the sky, he orders you, his pint-sized princely son, to put the twinkle back in the heavens above. Join the King and Prince of Cosmos on their wacky adventure to restore the stars at home or on the go – now in full HD.","December 6, 2018",81,7.6
4,Atlas Reactor,"Face off in fast-paced, turn-based PvP with Atlas Reactor – a competitive game that fuses simultaneous turns with team tactics. Read minds, master customizable Freelancers, and outwit your enemies in a world where a 20-second turn can change the tide of battle.","October 4, 2016",81,7.5
5,Horace,"Horace is a story-driven, pixel-platform adventure peppered with nostalgic, popular culture references which will bring a smile to any gamer who enjoys the 8 and 16 bit era.","July 18, 2019",81,7.3
6,Antihero,"Run a thieves' guild in a gas-lit Victorian city. Antihero is a fast turn-based strategy game with an (Oliver) Twist. Recruit street urchins, hire thugs, start a gang, upgrade your guild, steal everything... and bribe, blackmail, and assassinate your way to victory.","July 10, 2017",81,7.0
7,Void Bastards,"Inspired by BioShock and System Shock 2, Void Bastards is a new strategy-shooter that will test your wits as well as exercise your aim. Can you lead the misfit prisoners of the Void Ark through the derelict spaceships and myriad dangers of the Sargasso Nebula?","May 28, 2019",81,7.4
8,Redout (2016),"Redout is a tribute to the old racing monsters such as F-Zero, WipeOut, Rollcage, and POD. It is designed to be an uncompromising, fast, tough and satisfying driving experience, soaked in that vertigo that stands at the core of the arcade racing genre.","September 2, 2016",81,7.9
9,Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,"Sam & Max: The Devil’s Playhouse is based on the indie comics by Steve Purcell. Sam is a six-foot dog in a baggy suit sporting a trombone-sized .44 hand-cannon. Max is three feet of pure unleashed id with a saw blade grin and the impulsive nature of the average piranha. Together they patrol the sticky streets of a fantastical New York City, righting wrongs, pummeling perps, and ridding the urban landscape of the shifty legions of ""self-propelled gutter trash"" that litter their streets. Sam & Max is Telltale's longest running episodic game series to date.","August 30, 2010",81,7.7
10,Age of Empires III: The Asian Dynasties,"Age of Empires III: The Asian Dynasties is the second expansion pack for Age of Empires III. Engaging gamers of all ages and types in epic warfare in the Eastern world, Age of Empires III: The Asian Dynasties will lead Japanese, Chinese and Indian civilizations to expand their empires. Playable Asian civilizations. Lead one of three unique Asian civilizations — Japan, China and India — to expand their empires and fight for control in the Eastern world. Each Asian civilization, led by powerful leaders, will have unique groups, armies and wonders, as well as buildings that reflect the culture’s architectural style. New gameplay elements. Extending upon the innovative gameplay of Age of Empires III, Age of Empires: The Asian Dynasties will introduce new ways of winning and trading, random map styles that feature remixes of classic Age of Empires game styles, and 15 new Asian Wonders. Returning to the historical, civilization-based single-player campaigns, Age of Empires III: The Asian Dynasties will offer gamers who enjoy the solo experience a chance to engage in strategic combat with Japan, China or India through several engrossing scenarios. [Microsoft]","October 23, 2007",81,8.4
11,Defense Grid: The Awakening,"Defense Grid: The Awakening is a strategy game where players place defense fortifications (towers) to stop invading aliens from stealing power cores from their bases.  It is up to the player to select the towers, placement, and timing to best protect the base.  This mix of strategy and puzzle gameplay promises to be very fun and engaging. [Hidden Path Entertainment]","December 8, 2008",81,8.6
12,"Codename: Panzers, Phase One","No, this can't be! Initial outpost reports showed only armored infantry, but some serious hardware is headed this way! How could two 70-ton German Königstiger battle tanks simply be overlooked?! Well, no time to lay blame, just aim the bazooka and bring up the tanks from the rear. Only a direct hit can destroy them. ? Codename: Panzers thrusts you into the high-powered battles of World War II. Whether played in towns with bullet-riddled buildings, bleak mountain landscapes, or treacherous swamps, Codename: Panzers offers real-time combat rampages with awesome 3D graphics. Create your combat force from over 100 finely detailed units, from a flame-throwing squad to a Soviet Stalin organ rocket launcher to a German Königstiger battle tank. Be the commander - demolish the enemy with clever tactical maneuvers. Experience the nerve-jangling thrill of strategic gaming - in Codename: Panzers! [CDV]","September 30, 2004",81,8.6
13,FIFA 16,"Games are won and lost in the midfield - in FIFA 16, the midfield matters. Stay in possession with patient build-up play or ping clinical passes through space to start an attack.","September 22, 2015",81,4.6
14,Europa Universalis IV: Conquest of Paradise,"Europa Universalis IV: Conquest of Paradise is the first expansion for the critically praised empire building game Europa Universalis IV, focusing on exploration of the new world and the Native American nations.","January 14, 2014",81,7.7
15,Ghost Master,"Grim spectres, mischievous gremlins, howling banshees, things that go bump in the night... and that's just your starting team! As an afterlife civil servant sent to Gravenville by the Haunter Committee, frighten lowly mortals from their homes and places of work in a game that puts you in charge of legions of ghosts, ghouls and spirits! Your mission: manage resources to scare and manipulate people, then discover the secrets behind Gravenville...  [Empire Interactive]","August 26, 2003",81,7.9
16,Divine Divinity,"Set in a new fantasy universe, Divine Divinity takes the player on a fantastic quest in a land torn apart by corruption and dark magic. Throughout his journeys the player will get the chance to develop his character as one of six character types, and meet a variety of people and fantastical beings. By combining the best features of the RPG genre, and introducing a lot of new features, Divine Divinity will appeal to both hard-core and new RPG players. [Larian Studios]","September 22, 2002",81,8.4
17,The Book of Unwritten Tales 2,"Legends foretold it. Prophecies predicted it. Chosen ones chose to believe in it. Now the adventure saga continues. A sequel is coming. Join Wilbur, Ivo, Nate and Critter in another classic point-and-click adventure in the wicked world of Aventásia. Help them fulfill their destiny. A destiny as yet unwritten.","February 20, 2015",80,7.6
18,Gears Tactics,"Gears Tactics is the fast-paced, turn-based strategy game from one of the most-acclaimed video game franchises – Gears of War. Outnumbered and fighting for survival, recruit and command your squad to hunt down an evil mastermind who makes monsters.","April 28, 2020",80,7.7
19,Dark Deity,"Command legendary heroes to reshape a land fractured by broken oaths, reckless wars, and secret arcane powers. The technological and cultural achievements of a once-great civilization now lie locked inside the ruins of ancient temples throughout the world of Terrazael. Long after society's mighty history is snuffed out by a powerful and mysterious ""Calamity"", the people of Etlan teeter on the brink of total war.

In a desperate attempt to bolster his recruit ranks, King Varic of the Kingdom of Delia expedites the graduation of all students at the Brookstead Military Academy, severing a pact that has stood for a thousand years. With the course of their future undemocratically derailed, these four ""graduates"" of the Brookstead Academy set out to leave their mark on this world.

This is their story.","June 15, 2021",80,4.9
20,Phoenix Wright: Ace Attorney Trilogy,"Defend the innocent and save the day! Courtroom hero Phoenix Wright lays down the law this Winter in the digital release of Phoenix Wright: Ace Attorney Trilogy. Experience the original trilogy like never before in clear, high-resolution re-drawn graphics and immersive 3D visuals optimized for the Nintendo 3DS system. Join rookie lawyer Phoenix Wright through the early years of his career in his quest to find the truth behind all of the classic cases! Prepare for intense courtroom showdowns by investigating crime scenes, collecting evidence, and questioning witnesses. Use evidence and the testimonies of witnesses to your advantage as you battle for the innocence of your client. Nothing less of a full acquittal will do in this court of law. Find the contradictions in witnesses' testimonies to expose the truth!

As a new feature, the Japanese version of the game, ""Gyakuten Saiban 123 Naruhodo Selection,"" will be included, giving players the option to switch between the Japanese and English versions in-game. Phoenix Wright: Ace Attorney Trilogy includes Phoenix Wright: Ace Attorney, Phoenix Wright: Ace Attorney - Justice For All, and Phoenix Wright: Ace Attorney - Trials and Tribulations and will be available to purchase as a digital download title exclusively on the Nintendo eShop for Nintendo 3DS.

-Three beloved games in one: For the first time ever on Nintendo 3DS, experience all of the classic courtroom drama from the original Phoenix Wright trilogy in one epic collection.
-Familiar faces return: Join Phoenix Wright in his early years, as he gets introduced to his colorful cast of friends and foes, including Pearl Fey and rival prosecutor Miles Edgeworth.
-Two classic gameplay segments:
--Investigation phase - survey crime scenes, interview witnesses and gather evidence that will be used in court.
--Court phase - present findings from the investigation to support your case, listen to testimonies and examine witnesses.
-Play two versions: the Japanese version of the game, ""Gyakuten Saiban 123 Naruhodo Selection,"" will be included, giving players the option to switch between the Japanese and English versions in-game.","April 9, 2019",80,8.8
21,The Last Campfire,"DISCOVER A PURPOSE

The Last Campfire is an adventure, a story of a lost ember trapped in a puzzling place, searching for meaning and a way home.

ON A JOURNEY
Travel deeper into the lands beyond the dark forest and overcome the adversities before you.

UNCOVER A WORLD
Discover beautiful wilderness filled with lost folk, strange creatures and mysterious ruins.

LIGHT THE LAST CAMPFIRE
Find hope and carry it with you on your Journey to light The Last Campfire.

FROM A SMALL STUDIO
A unique tale from Hello Games and the creative minds behind LostWinds.","August 27, 2020",80,8.4
22,Lovers in a Dangerous Spacetime,"Lovers in a Dangerous Spacetime is a 2-player co-op micro-platformer set inside a neon spaceship locked in battle with hordes of space baddies. Players work together running back and forth between ship control rooms, manning turrets, lasers, shields and thrusters to rack up points and stave off a vacuumy demise. In mish-mash terms you could describe it as Jumpman meets Asteroids meets Han saying ""Don't get cocky.""","September 9, 2015",80,7.7
23,Age of Conan: Hyborian Adventures,"In 'Conan' the players encounter a dark, lush, violent and sinful universe, presented in fantastic graphics and stunning 7.1 surround audio. In a world filled with cruel gods, mythical creatures, lost civilizations and a struggling human race, the mighty barbarian has finally seized the throne as king of Aquilonia. But Conan's rule is on the brink of chaos, spiraling towards the doom of ancient evils. In this twisted fantasy world, dark magic and brutal combat lurks around every corner, and each man and woman must carve their own unique destiny under Conan's reign. In the true vision of Robert E. Howard's dark universe, it's now time for you to become a messenger of death. In addition to incredible graphics and sound, the game will be filled with unique features like the ""Real Combat"" engine; a revolutionary new multi-point melee system which allows the players to swing their weapons where they direct it, in real-time! This easy to learn and fun melee system lets the players truly feel they are on the battlefield, and goes head-on against the formulaic nature of online RPG combat. In 'Conan' you can also, for the first time in an online RPG, create player-made battle formations where you can command NPC's and other players in combat, making for epic multiplayer battles. The multiplayer game also allow the players to form guilds and lay siege to enemy castles, letting their catapults sing their merry song of death as the enemy is crushed to a pulp. [Funcom]","May 20, 2008",80,7.3
24,Company of Heroes 2: The Western Front Armies,"The Western Front Armies is available as a stand-alone package that represents an entry point into the franchise and access to the vibrant Company of Heroes 2 community. New players can also access 23 existing Company of Heroes 2 maps in auto-match, and play against all other existing factions.","June 23, 2014",80,6.9
25,Sid Meier's Civilization V: Gods & Kings,"Sid Meier's Civilization V: God & Kings takes players through time as they engage in new quests and global competitions, interact with new types of city-states, and master exciting new systems for land and naval combat. Nine new civilizations; nine new wonders; three original scenarios; and dozens of new units, buildings, technologies and resources have also been added, offering even more ways for players to expand their empire on their quest to rule the world.","June 18, 2012",80,7.7
26,The Elder Scrolls Online: Elsweyr,"Once thought lost to the mists of time, fearsome Dragons now soar the skies of Elsweyr, leaving scorched ruin in their wake. In The Elder Scrolls Online: Elsweyr, you must discover the dark purpose behind their rampage in a new epic story and prevent the destruction of the Khajiiti homeland. Take heart, for these scaled monstrosities are not invincible, and with the right planning, tactics, and tools they can be brought to the ground and even killed. Coordination and skill are key to overcoming the Dragons, but if you succeed, you'll reap rewards not found anywhere else in Nirn. Beware the skies, walker.","May 20, 2019",80,8.0
27,The Elder Scrolls: Legends,"Welcome to The Elder Scrolls: Legends, a competitive strategy card game set in the Elder Scrolls universe. From building your deck to taking on foes in one of the game’s three exciting modes, every decision you make will require strategy and careful planning. Will you overpower your opponent with brute force? Or will you defeat your foes with speed and cunning? Each deck in The Elder Scrolls: Legends can be crafted using two of the five attributes in the game: Strength, Agility, Intelligence, Endurance and Willpower.","March 20, 2017",80,5.5
28,Age of Empires III: The WarChiefs,"The new expansion pack builds off of the real-time-strategy gameplay of ""Age of Empires III,"" providing players with the ability to lead one of three proud Native American civilizations, including the Iroquois Confederation, to expand their empire and fight for control of the Americas. The game provides new ways to play and win, introducing new gameplay elements and content including new civilizations, a new single player campaign, Home City enhancements and additional maps and units. [Microsoft]","October 17, 2006",80,7.8
29,Sleeping Dogs,"Sleeping Dogs is an open world cop drama set in the vibrant city of Hong Kong. Taking the role of undercover cop Wei Shen, players must take down one of the world's most lethal criminal organizations from the inside. Featuring imaginative combat systems, Sleeping Dogs empowers enables players to perform an array of martial arts moves, singlehandedly taking on numerous opponents. Players perform visceral kicks and combos, vicious counters and a cinematic set of environmental takedowns making use of real-world items from circular saws to phone booths, incinerators to refrigerator doors.","August 13, 2012",80,8.2
30,Youropa,"When Youropa is torn apart, You must use your unique wall walking ability to navigate a strange fragmented city, restore it to former glory and learn who you really are. A platform puzzle paint adventure about breaking rules, being upside down and thinking outside the box.","June 27, 2018",80,7.8
31,Endless Space 2,"The sequel to Endless Space. Endless Space 2 is turn-based, 4X space-strategy that will put you in the role of a leader guiding his civilization in making its first steps into the cold depths of interstellar space. Your Vision. Their Future.","May 19, 2017",80,7.9
32,Detroit: Become Human,"Humankind, rediscovered. Travel to the near-future metropolis of Detroit a city rejuvenated by an exciting technological development: androids. Witness your brave new world turn to chaos as you take on the role of Kara, a female android trying to find her own place in a turbulent social landscape.

Shape an ambitious branching narrative, making choices that will not only determine your own fate, but that of the entire city. Discover what it means to be human from the perspective of an outsider see the world of man though the eyes of a machine.","December 12, 2019",80,7.7
33,Leap of Fate,"Leap of Fate is a cyberpunk roguelite about overcoming your fears and achieving your fate. In a New York City where magic is real, you play as a technomage who must develop unspeakable powers to confront the Crucible of Fates. Can you survive the trials?","March 30, 2016",80,7.1
34,Metal Gear Solid V: Ground Zeroes,"Metal Gear Solid V: Ground Zeroes is the first segment of the Metal Gear Solid V Experience and prologue to the larger second segment, Metal Gear Solid V: The Phantom Pain launching thereafter.","December 18, 2014",80,7.6
35,Trials Fusion,"Trials Fusion melds the classic, proven Trials formula of simple yet addictive competition with the social and visual breakthroughs of the next generation of gaming.","April 16, 2014",80,6.9
36,Syberia II,"Embarking on a desperate search for Hans Voralberg, Kate Walker crosses Europe from West to East. She has left behind all her worldly possessions with the express purpose of joining the heir of the Voralberg family on his journey. Together, through mystical and enchanting lands, they will find their way to the mythical Syberia, land of the forgotten mammoths. Thus Syberia II begins...The train leaves Aralbad under a quiet snowfall. Kate, Hans and Oscar, the loyal, humorous automaton, are heading to Romansbourg, the first of the four worlds to be explored in Syberia II. The motley crew will clear the last bastions of Russian civilization followed by the Frozen North before arriving at Youkol Village, from where they will try to reach their final destination: Syberia. Along the way, they will have to overcome many obstacles and deal with shady characters to uncover clues vital to the continuation of their quest. Kate's timeless journey through Valadilene, Barrockstadt, Komkolzgrad and Aralbad has sparked an evolution in her character, from an ambitious lawyer to a curious and tenacious adventuress. Kate's role has undergone a remarkable change. From being the pursuant, she becomes Han's main acolyte, his support in attaining the forgotten realm of the mammoths. How will she react to this new situation? Can she live up to the choices she made? [Microids]","March 30, 2004",80,8.4
37,Tom Clancy's Ghost Recon,"Take command of the Ghosts through a series of missions that range from demolitions, to search and rescue, to all-out firefights for survival. Features squad-based tactical combat with next-generation military action in stunning 3D environments and a mission-driven storyline with 15 different singleplayer maps (as big as 400m x 400m), and 6 dedicated multiplayer maps. [Ubi Soft]","November 13, 2001",80,7.6
38,Conquest: Frontier Wars,"Master the technology and tactics of three clashing races as you control strategic wormholes, maintain precious supply lines, and forge an empire from hundreds of unique units to attain total control of the galaxy in this fleet-based real-time strategy game.","August 14, 2001",80,8.1
39,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned","2000 years of heresy, betrayal and lies. One frightening truth. Solve a real-life mystery with the third title in the award-winning Gabriel Knight series. Game writer and designer Jane Jensen brings you Gabriel and Grace in their most controversial adventure ever. Enter the small French village pf Rennes-le-Château, and begin the path to your destiny ? unraveling an enigma that may shatter your most closely-held beliefs. Play as both Gabriel Knight and Grace Nakamura as you learn more about what is hidden in the hills of France. But beware your life, your faith and your soul. For once the truth is found, there is no erasing it. [Sierra]","October 5, 1999",80,8.3
40,Tyranny,"In Tyranny, the grand war between good and evil is over – and the forces of evil, led by Kyros the Overlord, have won.","November 10, 2016",80,7.8
41,Skul: The Hero Slayer,"The human race attacking the Demon King's castle is nothing new and has happened countless times before. What makes this time different though, is that the Adventurers decided to join forces with the Imperial Army and the 'Hero of Caerleon' to finally succeed in the total destruction of the Demon stronghold. All of the demons in the castle were taken prisoner except for one lone skeleton named 'Skul'.

Skul is no ordinary skeleton. In addition to his formidable fighting skills, he can gain new and exciting abilities depending on which skull he's wearing.Use up to 2 skulls at a time, each of which has its own unique attack range, speed and power. So choose ones that match your playing style and switch them in the heat of battle to bring your enemies to their knees. The power is in your hands!

Skul has crossed paths with a party of Adventurers! They are powerful foes that hunt Demons for sport. But while Skul may be small, he still packs quite a punch. So just see who really is the hunter and who is the hunted...","January 21, 2021",80,6.5
42,Football Manager 2017,"2,500 real clubs to manage and over 500,000 real footballers and staff to sign. Full control of transfers and decide who plays, and who sits on the bench. You'll follow the match live with our acclaimed 3D match engine.","November 4, 2016",80,5.4
43,SoulCalibur VI,"History Hides Away More Than One Truth... SOULCALIBUR VI represents the latest entry in the premier weapons-based, head-to-head fighting series and continues the epic struggle of warriors searching for the legendary Soul Swords. Taking place in the 16th century, revisit the events of the original SOULCALIBUR to uncover hidden truths. [Bandai Namco]","October 18, 2018",80,5.1
44,Mutazione,"A mutant soap opera where small-town gossip meets the supernatural. Join Kai as she arrives in the mysterious community of Mutazione to care for her ailing grandfather. Discover scenic hangouts, magical gardens, new friends, and old secrets… They can survive an apocalyptic meteor strike, but can they survive their small-town drama?","September 19, 2019",80,7.3
45,SpellForce 3: Soul Harvest,"Three years after the Purity Wars, Nortander is on the cusp of a new era.","May 28, 2019",80,8.4
46,Westerado: Double Barreled,"Brought to you by the indie game developer Ostrich Banditos, Westerado takes you on a pixilated journey through the Old West where you must avenge the murder of your family. With a deep narrative and a new mystery every time you play, Westerado presents a full experience rarely seen in free casual gaming. So strap on that six shooter and get ready for some serious avenging. It's time to play Westerado.","April 16, 2015",80,7.7
47,Anomaly: Warzone Earth,"Blending fast-paced, explosive action with tactical battlefield command, Anomaly puts players in charge of a military convoy tasked with fighting back against the mysterious alien war machines that have begun to spring up in many of the world's largest cities. Players take part in battles personally to support and assist a hand-picked armor squad, utilizing their top-down tactical view to plot each and every turn of the convoy. As they progress through the story campaign and challenge modes, players will unlock upgrades and new units to build their ultimate destruction squad.","April 8, 2011",80,7.3
48,Volume,"Robert Locksley is a petty thief who happens upon a device known as ""Volume"". Originally intended to be utilized as part of a secret military coup, Robert now has the ability to simulate high-profile heists, so what does he choose to do? Broadcast these crimes over the internet. Make your way through this postmodern twist on Let's Play videos with the help of Danny Wallace as the voice of the Volume artificial Intelligence. From Mike Bithell, creator of Thomas Was Alone.","August 18, 2015",80,7.3
49,GRID 2,"Prove yourself against advanced AI in aggressive races. Catapult your way to the top of a new world of motorsport. A separate online campaign features full RaceNet integration. Race a handpicked selection of iconic cars that represent what some consider to be the best in automotive engineering from the last 40 years. Take on challenging licensed tracks, city streets and lethal mountain roads. Prove yourself by entering and winning events across three continents.","May 27, 2013",80,5.8
